"FC1"	"FC2"	"FC3"
"mmu-let-7a-1-3p"	-0.457630875685527	-1.52989602628416	-1.07226515059864
"mmu-let-7a-5p"	-1.94790700187284	-1.66371106063053	0.284195941242311
"mmu-let-7b-3p"	-1.37689152758557	-3.93776840978241	-2.56087688219684
"mmu-let-7b-5p"	-0.626251825919207	-1.93285281655	-1.30660099063079
"mmu-let-7c-1-3p"	-1.17168545930675	-2.66825284408219	-1.49656738477544
"mmu-let-7c-2-3p"	-0.266683171318156	-1.68254726790191	-1.41586409658375
"mmu-let-7c-5p"	-0.870033478239278	-0.295494231487407	0.574539246751871
"mmu-let-7d-3p"	-1.57434779772202	-5.01049397350316	-3.43614617578114
"mmu-let-7d-5p"	-1.67333796428644	-0.939866702517512	0.733471261768927
"mmu-let-7e-3p"	-1.37761996992443	-2.90716935032698	-1.52954938040255
"mmu-let-7e-5p"	-1.42775600972942	-1.91056544854321	-0.482809438813785
"mmu-let-7f-1-3p"	-0.887910187378568	-3.18762700317577	-2.2997168157972
"mmu-let-7f-2-3p"	-2.9003091228514	-3.20925936374055	-0.308950240889153
"mmu-let-7f-5p"	-1.21198650180492	-0.440422900661047	0.771563601143868
"mmu-let-7g-5p"	-1.74868632172965	-1.01625851058288	0.73242781114677
"mmu-let-7i-3p"	-3.70188025250031	-4.54240203849311	-0.840521785992803
"mmu-let-7i-5p"	-1.51716023421248	-1.71685477273408	-0.199694538521601
"mmu-let-7j"	-1.82068172665867	-1.68754542839561	0.133136298263058
"mmu-miR-100-5p"	-1.80025453777304	-1.80298132083249	-0.00272678305945132
"mmu-miR-101a-3p"	-2.24760782329315	-2.05766193937938	0.189945883913772
"mmu-miR-101b-3p"	-1.40813878874858	-0.923262917085044	0.484875871663536
"mmu-miR-103-3p"	-1.94624148181478	-1.84344731532577	0.102794166489012
"mmu-miR-106b-3p"	-2.67330155193999	-2.36793669822015	0.305364853719839
"mmu-miR-106b-5p"	-2.59596908509701	-4.26776254369135	-1.67179345859434
"mmu-miR-107-3p"	-2.19303706138208	-1.78924431927086	0.403792742111221
"mmu-miR-10a-3p"	-4.1258439329782	-5.85282543857178	-1.72698150559358
"mmu-miR-10a-5p"	-3.19727703431439	-5.03083633082966	-1.83355929651527
"mmu-miR-10b-5p"	-3.69538649041481	-5.54838841514095	-1.85300192472614
"mmu-miR-1191a"	-1.10016416192543	-1.93128724991599	-0.831123087990554
"mmu-miR-1198-5p"	-0.918170323395925	-1.53317673967158	-0.615006416275655
"mmu-miR-122-5p"	-2.99053277290396	-1.48310687265383	1.50742590025014
"mmu-miR-1231-3p"	-2.06249592573376	-4.84010350439732	-2.77760757866355
"mmu-miR-125a-3p"	-1.74912436917432	-1.53675837460189	0.212365994572428
"mmu-miR-125a-5p"	-1.60123832555065	-1.79142014424162	-0.190181818690961
