"FC1"	"FC2"	"FC3"
"Chrng"	4.01355	4.02694	0.0235956
"Klhl30"	3.65867	3.54972	-0.0987464
"Cacna1s"	4.06756	4.40618	0.34883
"Ankrd23"	3.26928	4.16333	0.904256
"Prkag3"	5.37832	4.88397	-0.48414
"Ppfia4"	4.66328	3.46808	-1.185
"Dusp27"	3.51247	0	0
"Atp1a2"	5.30851	5.91343	0.615135
"Stac3"	3.54261	3.20317	-0.329229
"Hmga2"	-3.89664	-3.5909	0.315948
"Myl6b"	4.24916	3.8076	-0.431356
"Erbb3"	4.34034	3.90266	-0.427474
"Wnt9a"	3.69464	1.26514	-2.41929
"Slc16a11"	-5.70508	-5.11426	0.601025
"Unc45b"	5.53664	5.23457	-0.291857
"Gprc5c"	4.19872	4.20688	0.0183654
"Nptx1"	4.15485	1.51566	-2.62898
"Ccdc88c"	4.31446	3.20283	-1.10142
"Ckb"	4.77291	2.94784	-1.81487
"Rbm24"	3.7648	3.33946	-0.415138
"Actn2"	4.50151	6.02635	1.53505
"Myh7"	3.94366	3.87513	-0.0583284
"C1qtnf3"	5.33203	4.15769	-1.16413
"Ccdc134"	3.48502	3.41882	-0.0559936
"Sntb1"	4.73079	3.69906	-1.02153
"Mb"	4.19319	4.84388	0.6609
"Adamts5"	4.0611	3.75052	-0.30037
"Cdsn"	-3.67509	-1.45306	2.23224
"Myom1"	4.46729	4.45135	-0.00572355
"Mymx"	5.18247	4.45251	-0.719749
"Daam2"	4.24101	3.45457	-0.776231
"Cyp1b1"	-3.07979	-2.9927	0.0973188
"Camk2a"	4.79298	5.27089	0.488112
"Pmaip1"	2.8487	1.62568	-1.21281
"Dynap"	-4.11776	-4.38769	-0.259718
"Pgm5"	3.30524	4.41879	1.12376
"Klhl41"	4.1988	4.95805	0.769451
"Neb"	4.95527	4.92406	-0.0209997
"Ccdc141"	4.65705	3.99651	-0.650335
"Grem1"	-4.7926	-3.53566	1.26715
"Tnnc2"	5.19983	5.56965	0.380027
"Hjv"	4.98607	5.01483	0.0389665
"Olfml3"	3.73257	3.06854	-0.653822
"Patj"	4.56805	3.49335	-1.06449
"Fndc5"	6.27718	5.31157	-0.955399
"Myom3"	4.08217	4.77762	0.70566
"Id3"	-4.06106	-5.31066	-1.2394
"E2f2"	3.85428	3.20344	-0.640632
"Sema3d"	3.3926	3.17389	-0.208511
"Lmod2"	4.5703	4.57605	0.015962
"Aqp1"	-4.03979	-4.32927	-0.279278
"Hdac11"	3.88848	3.19713	-0.681144
"Smyd1"	3.50412	3.26571	-0.22821
"Lmod3"	3.76351	4.55643	0.803133
"Tead4"	3.64583	3.0173	-0.618332
"Ckm"	6.92481	6.94953	0.0349299
"Hrc"	4.55215	4.86483	0.322882
"Ucp2"	3.22163	3.19177	-0.0196498
"Pde2a"	6.62	5.14144	-1.46835
"Trim72"	3.62442	4.41449	0.800287
"Tnni2"	5.08039	5.57976	0.509578
"Ryr1"	4.17361	4.26784	0.104436
"Fgf21"	5.90485	3.70379	-2.19085
"Atp2a1"	5.60972	6.42107	0.82156
"Myom2"	4.64401	4.98224	0.348432
"Tmem38a"	3.38532	3.77546	0.400347
"Adgrg1"	4.8687	2.55206	-2.30644
"Ldlr"	3.53993	3.72606	0.196329
"Arpp21"	3.92928	3.4488	-0.470282
"Itgb1bp2"	5.50735	4.54838	-0.948768
"Chrnd"	3.30745	3.56696	0.269717
"Casq1"	3.43683	5.44246	2.01584
"Jsrp1"	3.11154	3.67471	0.573382
"Mybpc1"	4.3312	6.68298	2.36198
"Myh1"	1.15037	3.45435	2.3142
"Myh4"	0.142477	5.14363	5.01136
"Tcap"	3.29242	5.02593	1.74372
"Fst"	3.05362	3.80151	0.758096
"Ldb3"	3.68208	3.7087	0.0368252
"Rbfox1"	4.2846	5.36819	1.0938
"Apobec2"	4.39829	5.60161	1.21352
"Pygm"	5.07815	6.31782	1.24987
"Tbx15"	2.50423	4.0611	1.56708
"Col5a3"	2.25407	3.53733	1.29347
"Cd24a"	-1.59169	1.00575	2.60765
"Fam13c"	2.99044	1.55336	-1.42687
"Cyfip2"	2.66563	6.14999	3.49457
"Atp1b2"	4.13017	7.36327	3.24331
"Serpinb1a"	1.61301	3.36372	1.76092
"Rpph1"	-1.96983	2.06785	4.04788
"Abra"	2.36484	4.50849	2.15385
"Ndrg1"	-1.46146	0.783044	2.25471
"Pacsin1"	1.20645	5.66841	4.47215
"Ankrd2"	5.43502	3.02028	-2.40453
"Myl9"	1.36502	-0.310453	-1.66527
"Slc2a6"	4.15207	5.82589	1.68404
"Ptgis"	1.66315	0.0508043	-1.60214
"Car3"	0.452414	-1.39337	-1.83558
"Postn"	1.84376	4.53025	2.69669
"Mycl"	1.70807	-0.0407398	-1.73861
"Hspb7"	3.32518	5.48323	2.16825
"Rmrp"	-1.83475	0.82973	2.67469
"Ablim2"	3.97058	9.00499	5.04455
"Fgfrl1"	0.422096	2.74691	2.33503
"Ptn"	3.94868	2.06013	-1.87835
"5430431A17Rik"	7.04578	4.59106	-2.44451
"Mir6236"	-1.65059	1.11163	2.77242
"Smpx"	3.46163	4.99242	1.54101
"Ly6a"	-1.95321	-0.00990583	1.95351
"Tpm3"	0.00198423	1.54238	1.5506
"Cd36"	1.934	4.03966	2.11588
"Cdkn1c"	8.72765	7.10408	-1.61342
"Scn4a"	3.86803	5.32603	1.46821
"Anxa8"	-2.60235	-0.779539	1.83302
"Scara5"	2.29702	4.40924	2.12243
"Lars2"	-1.61454	0.896621	2.52137
"Slco5a1"	2.53625	5.02868	2.50264
"Mypn"	4.49499	6.19241	1.70763
"Mss51"	4.06414	5.59076	1.53683
"Cnr1"	4.14432	2.73367	-1.40046
"Fsd2"	4.01152	7.03876	3.03744
"Tceal7"	2.01057	3.56612	1.56576
